"","account","product","week","sales_units","sales_dollars","feature_pctacv","display_pctacv"
"1","Dominicks","Hellmans Mayo 32oz",1,12417,13519,0,4
"2","Dominicks","Hellmans Mayo 32oz",2,27362,27464,100,79
"3","Dominicks","Hellmans Mayo 32oz",3,12876,13758,0,19
"4","Dominicks","Hellmans Mayo 32oz",4,12425,13334,0,14
"5","Dominicks","Hellmans Mayo 32oz",5,16727,18081,0,7
"6","Dominicks","Hellmans Mayo 32oz",6,11600,12951,0,7
"7","Dominicks","Hellmans Mayo 32oz",7,12176,13650,0,7
"8","Dominicks","Hellmans Mayo 32oz",8,16307,18418,0,12
"9","Dominicks","Hellmans Mayo 32oz",9,34216,32054,100,39
"10","Dominicks","Hellmans Mayo 32oz",10,16922,18908,0,10
"11","Dominicks","Hellmans Mayo 32oz",11,10550,11806,0,10
"12","Dominicks","Hellmans Mayo 32oz",12,10161,11376,0,13
"13","Dominicks","Hellmans Mayo 32oz",13,10729,13029,0,4
"14","Dominicks","Hellmans Mayo 32oz",14,10651,13022,0,4
"15","Dominicks","Hellmans Mayo 32oz",15,12853,15087,0,15
"16","Dominicks","Hellmans Mayo 32oz",16,9888,12221,0,4
"17","Dominicks","Hellmans Mayo 32oz",17,10309,12600,0,4
"18","Dominicks","Hellmans Mayo 32oz",18,16361,17979,100,4
"19","Dominicks","Hellmans Mayo 32oz",19,12891,15612,0,4
"20","Dominicks","Hellmans Mayo 32oz",20,9087,11060,0,0
"21","Dominicks","Hellmans Mayo 32oz",21,9873,12099,0,0
"22","Dominicks","Hellmans Mayo 32oz",22,9095,11080,0,0
"23","Dominicks","Hellmans Mayo 32oz",23,8861,10923,0,0
"24","Dominicks","Hellmans Mayo 32oz",24,8345,10199,0,0
"25","Dominicks","Hellmans Mayo 32oz",25,8605,10529,0,0
"26","Dominicks","Hellmans Mayo 32oz",26,9708,11826,0,0
"27","Dominicks","Hellmans Mayo 32oz",27,9448,11530,0,0
"28","Dominicks","Hellmans Mayo 32oz",28,8550,10416,0,0
"29","Dominicks","Hellmans Mayo 32oz",29,32143,30375,100,27
"30","Dominicks","Hellmans Mayo 32oz",30,8676,10410,0,19
"31","Dominicks","Hellmans Mayo 32oz",31,14026,16996,0,18
"32","Dominicks","Hellmans Mayo 32oz",32,6840,8380,0,3
"33","Dominicks","Hellmans Mayo 32oz",33,33183,29699,100,67
"34","Dominicks","Hellmans Mayo 32oz",34,10465,12610,0,19
"35","Dominicks","Hellmans Mayo 32oz",35,19534,23647,0,12
